circo;EXG;FG;PS;EELV;MODEM;UMP;FN
78_7;MARTINE PETITPAIN;MOUNI COUDOUX;ESTELLE RODES;GAËL CALLONNEC;DENIS FAIST;ARNAUD RICHARD;ALEXANDRE DELPORT
78_8;MAURICE MARTIN;ERIC ROULOT;FRANÇOISE DESCAMPS-CROSNIER;JOËL MARIOJOULS;ATIKA-HAYET MORILLON;CÉCILE DUMOULIN;PATRICIA COTE
78_9;PHILIPPE GOMMARD;NAVID HUSSAIN-ZAIDI;;MOUNIR SATOURI;;JEAN-MARIE TETART;PIERRE CHASSIN
78_10;FLORENCE BEDAGUE;CLAIRE VIGNAUD;;ANNY POURSINOFF;MICHEL LHEMERY;JEAN-FRÉDÉRIC POISSON;PHILIPPE CHEVRIER
78_11;CHRISTINE EGASSE;LUC MISEREY;BENOÎT HAMON;JÉRÉMY BIZET;EVELYNE DUQUENNOY;JEAN-MICHEL FOURGOUS;JACQUES DAIROU
78_12;FRÉDÉRIC HEMERY;MICHÈLE VALLADON;FRÉDÉRIK BERNARD;SOPHIE RENARD;;DAVID DOUILLET;BERNARD HUET
79_1;MARYSE VALLEE;NATHALIE SEGUIN;GENEVIÈVE GAILLARD;VIRGINIE LEONARD;JEAN-MICHEL PRIEUR;JÉRÔME BALOGE;LUCIE CHAUMERON
79_2;ANDRÉ DEPOUILLE;CHRISTINE ANTOINE;DELPHINE BATHO;GENEVIÈVE PAILLAUD;SOLANGE BROUXEL;XAVIER ARGENTON;PHILIPPE MAURIN
79_3;LUDVIC SZOTOWSKI;THIBAUT LALU;JEAN GRELLIER;CYRIL POUCLET;PIERRE BUREAU;PHILIPPE MOUILLER;JEAN-ROMÉE CHARBONNEAU
80_1;MICKAËL WAMEN;JEAN-CLAUDE RENAUX;PASCALE BOISTARD;LYACOUT HAÏCHEUR;VLADIMIR MENDÈS BORGÈS;STÉPHANE DECAYEUX;YVON FLAHAUT
80_2;BRUNO PALENI;MARIANNE MUGNIER;JACQUES GOFFINON;BARBARA POMPILI;OLIVIER BOUZY;OLIVIER JARDÉ;VALÉRY DRUEL
80_3;LAURENCE ACOULON;COLETTE DUROT;JEAN-CLAUDE BUISINE;FRANK MONCOMBLE;DAVID LEFEVRE;JÉRÔME BIGNON;NATHALIE HUIART
80_4;PASCAL FLAMENT;AGNÈS FRUITIER;CATHERINE QUIGNON;CHRISTIAN WYTTYNCK;JEAN-CHRISTOPHE LORIC;ALAIN GEST;VALÉRY LE DOUGUET
80_5;HÉLÈNE LAUNAY;CHRISTINE BARBIER;VALÉRIE KUMM;ELODIE HÉREN;;STÉPHANE DEMILLY;WALLERAND DE SAINT JUST
81_1;FANNY TOURRAILLE;GÉRALDINE ROUQUETTE;GÉRARD POUJADE;BENOIST COULIOU;PHILIPPE FOLLIOT;RICHARD AMALVY;FRÉDÉRIC CABROLIER
81_2;LOÏC ESCAICH;ANDRÉ BOUDES;JACQUES VALAX;CATHERINE MANUEL;FRANÇOISE RODET;HENRI DEL REY;MARIE-CHRISTINE BOUTONNET
81_3;CHANTAL TRESSENS;PHILIPPE GUERINEAU;LINDA GOURJADE;FRANCINE RICOUART;ANNE LAPERROUZE;BERNARD CARAYON;JEAN-PAUL PILOZ
82_1;RICHARD BLANCO;MARIE-CLAUDE BOUYSSI;VALÉRIE RABAULT;JEAN-JACQUES BOYER;THIERRY FAGET;BRIGITTE BAREGES;THIERRY VIALLON
82_2;JEAN-PAUL DAMAGGIO;MAXIMILIEN REYNES-DUPLEIX;SYLVIA PINEL;JOËLLE SIMONET;;PHILIPPE DE VERGNETTE;MARIE-CLAUDE DULAC
83_1;NICOLE JEUNE;PHILIPPE HIMBER;ROBERT ALFONSI;JOSETTE CORBIN;PIERRE-JACQUES DEPALLENS;GENEVIÈVE LEVY;DANIÈLE LE GAC
