Dept_circo;Nom;Prenom;nuance;voix;%Voix/inscrit;%Voix/exprimes;Acces
69_5;BUGNI;JIM;EXG;0;0,00;0,00;N
69_6;LAINEZ;CLAIRE;EXG;218;0,28;0,53;N
69_7;GUYON;STÃ‰PHANE;EXG;185;0,29;0,59;N
69_8;DUVINAGE;CYRIL;EXG;270;0,27;0,45;N
69_9;HELLY;CHANTAL;EXG;182;0,21;0,37;N
69_10;MIRGUET;ODILE;EXG;151;0,17;0,28;N
69_11;MINOUX;OLIVIER;EXG;221;0,26;0,44;N
69_12;FAURITE;CÃ‰CILE;EXG;148;0,19;0,32;N
69_13;PIOT;MICHEL;EXG;223;0,28;0,50;N
69_14;SEEMANN;MARIE-CHRISTINE;EXG;334;0,48;0,99;N
70_1;GARRET;THÃ‰RÃˆSE;EXG;279;0,31;0,49;N
70_2;ROUILLON;DANIEL;EXG;438;0,48;0,77;N
71_1;LY WA HOI;FRANÃ‡OIS;EXG;99;0,14;0,23;N
71_2;MOREL;JOHANNE;EXG;323;0,40;0,68;N
71_3;PALLANT;SIMONNE;EXG;195;0,23;0,39;N
71_4;DUSSAUGE;PASCAL;EXG;309;0,38;0,64;N
71_5;VILLETTE;JEAN-PAUL;EXG;327;0,36;0,65;N
72_1;MAILLET;SYLVIE;EXG;216;0,30;0,51;N
72_2;FOUCHE;DIDIER;EXG;506;0,61;1,11;N
72_3;HUBERT;THOMAS;EXG;376;0,44;0,75;N
72_4;NOUCHY;THIERRY;EXG;260;0,33;0,56;N
72_5;FOUQUET;KARINE;EXG;253;0,29;0,49;N
73_1;LAINEZ;FRANÃ‡OISE;EXG;165;0,20;0,34;N
73_2;DEMEURE;ALEXANDRE;EXG;123;0,16;0,30;N
73_3;TROUVE;PASCALE;EXG;165;0,23;0,39;N
73_4;LAURENT;RENÃ‰E;EXG;146;0,20;0,35;N
74_1;MACÃ‰;JEAN-PAUL;EXG;179;0,19;0,33;N
74_2;DAGAND;JEAN-PIERRE;EXG;229;0,25;0,44;N
74_3;CHAGNIOT;FRANÃ‡OIS;EXG;118;0,16;0,28;N
74_4;DERRIEN;CATHERINE;EXG;150;0,19;0,37;N
74_5;PESSAH;CHRISTINE;EXG;175;0,19;0,36;N
74_6;GOMEZ;DENISE;EXG;140;0,18;0,34;N
75_1;BOULINIER;LAURENCE;EXG;89;0,12;0,20;N
75_2;DARMANGEAT;CHRISTOPHE;EXG;112;0,16;0,25;N
75_3;ROBIN;SOPHIE;EXG;141;0,22;0,38;N
75_4;LEVENARD;PIERRE;EXG;46;0,07;0,12;N
75_5;DABAT;MONIQUE;EXG;145;0,20;0,34;N
75_6;GAILLARD;JEAN-LOUIS;EXG;178;0,24;0,41;N
75_7;MARSAULT;PHILIPPE;EXG;111;0,15;0,25;N
75_8;JOCHAUD;AURÃ‰LIE;EXG;159;0,20;0,33;N
75_9;DEHU;EMMANUEL;EXG;195;0,29;0,50;N
75_10;DAYMARD;JEAN-PIERRE;EXG;150;0,22;0,39;N
75_11;VINCIGUERRA;LAURENT;EXG;90;0,13;0,20;N
75_12;MILLION;SYLVIE;EXG;60;0,08;0,13;N
