Circo;Inscrits;%_Exp/Ins;Couleur;Nom;Voix;%_Voix/Ins;%_Voix/Exp;qualifie
72_5;86938;38.82;LR;Jean-Carles GRELIER;17795;20.47;52.73;elu
72_5;86938;38.82;REM;Willy COLIN;15951;18.35;47.27;non
74_5;95600;34.72;REM;Marion LENNE;17814;18.63;53.66;elu
74_5;95600;34.72;DVD;Astrid BAUD-ROCHE;15381;16.09;46.34;non
74_4;85226;36.85;LR;Virginie DUBY-MULLER;17158;20.13;54.63;elu
74_4;85226;36.85;REM;Laura DEVIN;14249;16.72;45.37;non
75_1;80780;58.57;REM;Sylvain MAILLARD;24037;29.76;50.8;elu
75_1;80780;58.57;LR;Jean-François LEGARET;8402;10.4;17.76;non
75_1;80780;58.57;SOC;Pauline VÉRON;3705;4.59;7.83;non
75_1;80780;58.57;FI;Patrick COMOY;2840;3.52;6.0;non
75_1;80780;58.57;ECO;Victoria BARIGANT;2481;3.07;5.24;non
75_1;80780;58.57;DVD;Vincent BALADI;1578;1.95;3.34;non
75_1;80780;58.57;FN;Guylaine COEFFIER;1029;1.27;2.17;non
