code du département;numéro département;libellé du département;code circonscription;link2;libellé circonscription;sexe;nom candidat;prénom candidat;age_candidat;nuance_politique;csp;personnalité_bool;candidat_sortant;parti_predecesseur2007;chomage_moyen_2012;age_moy_2012;region_uda_8_wcorse;voixmodele1;%_voix/ins;%_voix/exp;predictiont1;modele2voix;modele2rounded;voixt1;convergence_modele2;convergence_modele2_cut;convergence_modele_2_tag;passe_t2_2017;tweet_tag_count;tweet_tag_avg;tweet_nuance_count;tweet_nuance_avg;voix_t2_m1_reel;prediction;voixT2_modele2
83;83;Var;7;Frédéric BOCCALETTI_83_7;7ème circonscription;M;BOCCALETTI;Frédéric;43;FN;5;Non;Non;Oui;11.1;44.3462602328;8;15928;15.39;27.27;-0.0559454525355;14002.8292955;14003;10838;0.378192534381;0.378192534381;améliore;oui;;;60621;0.040893260993;14147;0.0670025855444;16979
83;83;Var;8;Fabien MATRAS_83_8;8ème circonscription;M;MATRAS;Fabien;32;EM-MODEM;4;Non;Non;Non;11.1;44.3462602328;8;13927;13.35;22.93;0.0075482461848;14175.53106;14176;16619;0.0924962852897;0.0924962852897;améliore;oui;;;41745;0.0440392981251;20323;0.0350188886362;22186
83;83;Var;8;Pierre JUGY_83_8;8ème circonscription;M;JUGY;Pierre;52;FN;2;Non;Non;Oui;11.1;44.3462602328;8;18879;18.1;31.08;-0.0519169402589;16751.8218664;16752;12161;0.316612086931;0.316612086931;améliore;oui;;;60621;0.040893260993;12728;0.0587930063637;14886
84;84;Vaucluse;1;Anne-Sophie RIGAULT_84_1;1ère circonscription;F;RIGAULT;Anne-Sophie;41;FN;8;Non;Non;Oui;12.85;41.920306896;8;9217;12.63;22.43;-0.0503755655345;8207.55916289;8208;7261;0.515848670757;0.515848670757;améliore;oui;;;60621;0.040893260993;7709;0.0425916103655;8595
84;84;Vaucluse;1;Jean-François CESARINI_84_1;1ère circonscription;M;CESARINI;Jean-François;46;EM-MODEM;2;Non;Non;Non;12.85;41.920306896;8;9475;12.99;23.05;0.0236401414704;10036.4616204;10036;9495;28.05;1.715;surestime;oui;;;41745;0.0440392981251;13182;0.0155081798938;13679
84;84;Vaucluse;2;Sonia STRAPELIAS_84_2;2ème circonscription;F;STRAPELIAS;Sonia;48;EM-MODEM;2;Non;Non;Non;12.85;41.920306896;8;11102;13.33;22.18;-0.0447591570324;10014.7950491;10015;12077;-1.11487179487;-1.042;degrade;oui;;;41745;0.0440392981251;17187;0.0286754076677;18446
84;84;Vaucluse;2;Thibaut DE LA TOCNAYE_84_2;2ème circonscription;M;DE LA TOCNAYE;Thibaut;58;FN;2;Non;Non;Oui;12.85;41.920306896;8;13975;16.78;27.92;-0.0333686188352;12941.457717;12941;9205;0.21677148847;0.21677148847;améliore;non;;;60621;0.040893260993;9741;0.0558947875009;11292
84;84;Vaucluse;3;Brune POIRSON_84_3;3ème circonscription;F;POIRSON;Brune;34;EM-MODEM;3;Non;Non;Non;12.85;41.920306896;8;9621;12.74;21.69;-0.0365667387017;8844.09656772;8844;11425;-0.430709534368;-0.430709534368;degrade;oui;;;41745;0.0440392981251;14557;-5.57984865663E-4;14538
84;84;Vaucluse;3;Hervé DE LÉPINAU_84_3;3ème circonscription;M;DE LÉPINAU;Hervé;48;FN;3;Non;Non;Oui;12.85;41.920306896;8;14677;19.43;33.09;-0.0315948884136;13647.1638509;13647;11335;0.308198683423;0.308198683423;améliore;oui;;;60621;0.040893260993;11870;0.0728638443914;14523
84;84;Vaucluse;4;Catherine CANDELA_84_4;4ème circonscription;F;CANDELA;Catherine;48;FN;4;Non;Non;Non;12.85;41.920306896;8;16532;18.64;31.16;-0.0611344812164;14361.2061171;14361;7711;0.24611722027;0.24611722027;améliore;non;;;60621;0.040893260993;9722;0.0459210103389;10942
84;84;Vaucluse;4;Carole NORMANI_84_4;4ème circonscription;F;NORMANI;Carole;42;EM-MODEM;2;Non;Non;Non;12.85;41.920306896;8;10767;12.14;20.29;-0.044512138795;9718.12708898;9718;10744;45.6086956522;1.715;surestime;oui;;;41745;0.0440392981251;17529;0.0148231516945;18160
84;84;Vaucluse;5;Marie THOMAS DE MALEVILLE_84_5;5ème circonscription;F;THOMAS DE MALEVILLE;Marie;37;FN;8;Non;Non;Non;12.85;41.920306896;8;12816;15.66;26.09;-0.050385371165;11412.1409667;11412;7361;0.257378551787;0.257378551787;améliore;non;;;60621;0.040893260993;7802;0.0353262420136;8524
84;84;Vaucluse;5;Jean VIARD_84_5;5ème circonscription;M;VIARD;Jean;68;EM-MODEM;7;Non;Non;Non;12.85;41.920306896;8;12472;15.24;25.39;-0.00613923714042;12296.9346495;12297;13291;-0.213675213675;-0.213675213675;degrade;oui;;;41745;0.0440392981251;16484;0.042135189308;18354
85;85;Vendée;1;Gwenaëlle GRIETENS_85_1;1ère circonscription;F;GRIETENS;Gwenaëlle;45;FG-FI;3;Non;Non;Non;7.85;42.7680281667;5;9004;8.22;13.13;-0.150807345106;6362.50506718;6363;5246;0.702767429484;0.702767429484;améliore;non;;;71423;0.0576651973747;9386;-0.00318460887492;9317
85;85;Vendée;1;Philippe LATOMBE_85_1;1ère circonscription;M;LATOMBE;Philippe;42;EM-MODEM;3;Non;Non;Non;7.85;42.7680281667;5;20660;18.86;30.14;0.0554570840014;23917.7400564;23918;22581;1.695991671;1.695991671;ameliore/surestime;oui;;;41745;0.0440392981251;24981;0.0704268229869;30319
85;85;Vendée;2;Patricia GALLERNEAU_85_2;2ème circonscription;F;GALLERNEAU;Patricia;62;EM-MODEM;7;Non;Non;Non;7.85;42.7680281667;5;19017;18.38;29.52;-0.00318205491792;18878.1725617;18878;19405;-0.35824742268;-0.35824742268;degrade;oui;;;41745;0.0440392981251;24696;0.0518202422633;28280
85;85;Vendée;2;Béatrice BELLAMY_85_2;2ème circonscription;F;BELLAMY;Béatrice;50;LR-UMP;5;Non;Non;Oui;7.85;42.7680281667;5;15510;14.99;24.07;-0.14269614356;11166.4635919;11166;8957;0.66290248741;0.66290248741;améliore;oui;12;-0.148333333333;15078;0.0310684164536;11362;-8.46301796748E-4;11340
85;85;Vendée;3;Corinne FILLET_85_3;3ème circonscription;F;FILLET;Corinne;55;FN;3;Non;Non;Non;7.85;42.7680281667;5;14368;11.76;19.22;-0.179248034331;9509.29422446;9509;7578;0.715611192931;0.715611192931;améliore;non;;;60621;0.040893260993;8351;0.0224324015039;8818
85;85;Vendée;3;Stéphane BUCHOU_85_3;3ème circonscription;M;BUCHOU;Stéphane;43;EM-MODEM;3;Non;Non;Non;7.85;42.7680281667;5;20686;16.94;27.67;0.0566265284459;24033.0784538;24033;24930;0.788642789821;0.788642789821;améliore;oui;;;41745;0.0440392981251;31953;0.0715728242194;38927
85;85;Vendée;4;Martine LEGUILLE-BALLOY_85_4;4ème circonscription;F;LEGUILLE-BALLOY;Martine;59;EM-MODEM;3;Non;Non;Non;7.85;42.7680281667;5;20902;21.37;46.51;0.010807510861;21442.2907234;21442;23508;0.207214121259;0.207214121259;améliore;oui;;;41745;0.0440392981251;25243;0.0679027511278;30385
85;85;Vendée;5;Hugues FOURAGE_85_5;5ème circonscription;M;FOURAGE;Hugues;52;PS;3;Oui;Oui;Oui;7.85;42.7680281667;5;3623;4.45;7.28;0.0804885083151;4549.32169691;4549;8400;0.193845509734;0.193845509734;améliore;oui;;;16996;0.0266309411454;12652;0.0116710021361;13006
