circo;EM;FN;LR;LFI;PS;EELV;UDI;PCF;DLF
62_9;Marguerite DEPREZ-AUDEBERT;Jacques DELAIRE;Pierre-Emmanuel GIBSON;Bruno DUBOUT;;Marie-Andrée Queste;;Bruno WESTRELIN;Sebastien HOCHART
62_10;Laurence DESCHANEL;Ludovic PAJOT;Nesrédine RAMDANI;Gauthier JANKOWSKI;Bernard CAILLIAU;Lisette Sudic;;Ludovic GUYOT;
62_11;Anne ROQUET;Marine LE PEN;Alexandrine PINTUS;Jean-Pierre CARPENTIER;Philippe KEMEL;Marine Tondelier;;Hervé POLY;Betty LECLERCQ
62_12;Coralie REMBERT;Bruno BILDE;Caroline MELONI;Grégory FRACKOWIAK;Laurent DUPORGE;Daniel Ludwikowski;;Christian CHAMPIRE;Jean-Michel ANDREAU
63_1;Valérie THOMAS;Anne BISCOS;Maxime VERGNAULT;Alain LAFFONT;Cécile AUDET;Damien FOLIO;;Cyril CINEUX;Antoine RECHAGNEUX
63_2;Mohand HAMOUMOU;Stanislas CHAVELET;Stéphanie FLORI-DUTOUR;Pascal ESTIER;Christine PIRÈS BEAUNE;;;;Doris VALOUR
63_3;Laurence VICHNIEVSKY;Anne-Marie CARTA;Christophe SERRE;Marc CHOVIN;;Nicolas Bonnet;Louis GISCARD D'ESTAING;Christine THOMAS;Corinne NEVEUX
63_4;Michel FANGET;Sylwia POWARUNAS;Bertrand BARRAUD;Catherine MOLLET;Sylvie MAISONNET;Jean Baptiste Pegeon;Hervé PRONONCE;Catherine FROMAGE;Maximilien MARTINS
63_5;Sébastien GARDETTE;Jérôme JAYET;Myriam FOUGÈRE;Sara PERRET;Gérard BETENFELD;Claire Lespagnol;Florence DINOUARD;André CHASSAIGNE;Jérémy PRÉVOST
64_1;Josy POUEYTO;Claudie CHEYROUX;Pauline ROY;Séverine GHEDJATI;Jérôme MARBOT;;;Olivier DARTIGOLLES;Philippe KROMPHOLTZ
64_2;Jean-Paul MATTEI;Joseph DAMOUR;Eric SAUBATTE;Thierry MOUTOU;Nathalie CHABANNE;Hélèna Timmer Blanchard;;;
64_3;Michel BERNOS;Lucinda CARVALHO;Pierre SAULNIER;Eric LYTWYN;David HABIB;Eric PETETIN;Bernard DUPONT;Isabelle LARROUY;
64_4;Loïc CORRÉGÉ;Gilles HUSTAIX;Marc OXIBAR;Didier BAYENS;Bernard UTHURRY;Véronique Zenoni;Laurent INCHAUSPÉ;Robert BAREILLE;Véronique DAZORD
64_5;Florence LASSERRE-DAVID;Jean-Michel IRATCHET;Caroline OUSTALET;Jérémy FARGE;Colette CAPDEVIELLE;Thibault Pathias;Yves UGALDE;Marie José RIVAS;Pascal LESELLIER
64_6;Vincent BRU;Sylviane LOPEZ;Maider AROSTEGUY;Christine LABROUSSE;Sylviane ALAUX;Sophie Bussière;Stéphane ALVAREZ;Dominique MÉLÉ;
65_1;Jean-Bernard SEMPASTOUS;Geneviève COMONT;;Sylvie FERRER;Jean GLAVANY;Henri Lourdou;;Philippe LACOUME;Habib LABED
65_2;Marie-Agnès STARICKY;Olivier MONTEIL;Clément MENET;Charles ROCHETEAU;;Cécile Bourdeu d’Aguerre;;Marie-Pierre VIEU;Pauline BACH-LAPIZE
66_1;Romain GRAU;Alexandre BOLO;Daniel MACH;Alain MIH;;Jean Codognès;;Françoise FITER;Philippe SYMPHORIEN
66_2;Christine ESPERT;Louis ALIOT;Fernand SIRÉ;Catherine DAVID;Marie-Pierre SADOURNY;Dominique LABIS;;Pascal EGIDO;Solange RODIER
66_3;Laurence GAYTE;Sandrine DOGOR;Danièle PAGÈS;Philippe ASSENS;Ségolène NEUVILLE;Roland SCARAMOZZINO;;Léa TYTECA;Patricia ROGET
66_4;Sébastien CAZENOVE;Stéphane MASSANELL;Jacqueline IRLES;Dominique GUÉRIN;Alexandre REYNAL;Franck Huette;;Nicolas GARCIA;Gisèle MOURAGUES
67_1;Thierry MICHELS;Andréa DIDELOT;Elsa SCHALCK;Jean-Marie BROM;Eric ELKOUBY;Abdelkarim Ramdane;;Hülliya TURAN;
67_2;Sylvain WASERMAN;Julia ABRAHAM;;Christine KAIDI;Philippe BIES;Leyla Binici;Pascale JURDANT-PFEIFFER;Marie-Pierre PONPON;
67_3;Bruno STUDER;Diana GARNIER-LANG;Georges SCHULER;Floriane DUPRÉ;Serge OEHLER;Christelle Syllas;;Antoine SPLET;Lucienne ANTHIAUME
67_4;Martine WONNER;Thibault MANTEAUX;Sophie ROHFRITSCH;Albert SCHWARTZ;;Nathalie Palmier;;Yasmina CHADLI;Eric MOUY
67_5;;Eliane KLEIN;Antoine HERTH;Janig TERRIER;;Caroline Reys;;Christine ROMANUS;Christine BECCARI
67_6;Guy SALOMON;Hombeline DU PARC;Laurent FURST;Denis GADOT;Martin EFFENBERGER;Alexandre Gonçalves;;Odile AGRAFEIL;Sara CHABAANE
67_7;Antoinette DE SANTIS;Virginie JORON;Patrick HETZEL;Peter ANDERSEN;;Sandrine Lombard;;Bénédicte HERRGOTT;Pascale ELLES
67_8;Christian GLIECH;Gérard JANUS;Frédéric REISS;Manuel MENETRIER;Ambroise PERRIN;Gisèle SCHNEIDER;;Pascal PREVOST-BOURE;Pierre-Henri EISENSCHMIDT
67_9;Vincent THIEBAUT;Laurent GNAEDIG;Etienne WOLF;Leilla WITZMANN;Hamid FILALI;Françoise WERCKMANN;Vanessa WAGNER;Jean-Marc CLAUS;Guillaume BOSSHARDT
68_1;Stéphanie VILLEMIN;Marie-Hélène DE LACOSTE LAREYMONDIE;Eric STRAUMANN;Didier OTTERMANN;;Frédéric Hilbert;;Régine MARIAGE;Sabrina BLONDÉ
68_2;Hubert OTT;Grégory STICH;Jacques CATTIN;Christelle MILLET;;Laurent Dreyfus;;Jérôme FUKAS;Denise FAVREL
68_3;Patrick STRIBY;Katia DI LEONARDO;Jean-Luc REITZER;Marianne BERÇOT;;Antoine WAECHTER;;;Jean-Michel MONTEILLET
68_4;Aurélie TACQUARD;Alain FAVALETTO;Raphaël SCHELLENBERGER;Gabriel WEISSER;;Michel Knoerr;Cyrille AST;Nadia PETER-LANTZ;
68_5;Cécile LEHR;Christelle RITZ;;Geneviève ENGGASSER;Abdellatif TIMDOUINE;Florence Peter;;Bertrand GROSZ;Pascal TSCHAEN
68_6;Bruno FUCHS;Sylvain MARCELLI;;Philippe DUFFAU;Pierre PARRA;Ralph WICKY;Francis HILLMEYER;Christophe POUYSEGUR;Caroline WIDLOECHER-REYMANN
69_1;;Tiffany JONCOUR;Anne LORNE;Elliott AUBIN;;Bertrand Artigny;Isabelle VIGNON;Julien GIRAUDO;Maguy GIRERD
69_2;Hubert JULIEN-LAFERRIERE;David TABELLION;Laurence BALAS;Eleni FERLET;;Rémi Zinck;Denis BROLIQUIER;;Aurore MONTAUBAN
69_3;Jean-Louis TOURAINE;Michel DULAC;Nora BERRA;Pascal LE BRUN;;Fanny Dubot;Christophe GEOURJON;Fanny LUCIUS;Corinne FERRETTI
69_4;Anne BRUGNERA;Edith GODECKE;Dominique NACHURY;Anne FONTENILLE;;Véronique Dubois-Bertrand;;Cécile CHARLES;Isabelle FOUCAULT
