Depts-Circo	LFI	PCF	EELV	PS	EM	UDI	LR	DLF	FN
070-02	8.06	0.9	0.69	2.34	12.09	1.18	10.05	2.07	17.75
071-01	8.58	1.1	1.5	4.82	15.52	1.52	10.7	0.31	11.02
071-02	8.09	0.93	0.78	2.59	14.31	1.49	12.11	2.43	13.12
071-03	8.29	1.04	1.4	4.51	14.33	1.38	9.98	0.39	13.47
071-04	8.3	0.94	0.73	2.46	12.86	1.26	10.52	2.3	15.19
071-05	9.39	1.19	1.48	4.8	14.12	1.25	8.88	0.35	12.14
072-01	8.73	1.12	1.44	4.64	15.85	2.06	15.02	0.28	10.26
072-02	9.83	1.24	1.42	4.63	14.36	1.64	11.97	0.33	11.52
072-03	8.58	1.06	1.19	3.87	13.15	1.87	14.29	0.38	13.57
072-04	9.08	1.13	1.25	4.08	14.17	2.07	15.53	0.31	11.27
072-05	7.98	1	1.28	4.12	14.7	1.94	14.38	0.34	11.93
073-01	8.02	0.92	0.83	2.74	15.52	1.61	12.61	2.09	12.68
073-02	8.37	0.97	0.75	2.52	13.62	1.6	12.86	2.06	12.19
073-03	8.73	1	0.83	2.77	14.73	1.39	10.99	2.05	13.64
073-04	10.59	1.37	1.68	5.45	15.99	1.39	9.46	0.28	9.82
074-01	7.23	0.84	0.88	2.88	17.54	1.84	13.92	2.11	10.43
074-02	8.19	1.05	1.49	4.78	17.32	1.81	12.56	0.26	9.18
074-03	8.02	0.92	0.77	2.59	14.44	1.58	12.73	2.33	12.55
074-04	7.72	0.98	1.29	4.15	14.75	1.6	11.36	0.27	9.56
074-05	7.47	0.86	0.76	2.53	14.66	1.73	13.51	1.91	10.63
074-06	7.14	0.82	0.73	2.42	14.31	1.79	14.11	1.93	10.94
075-01	6.46	0.91	2.05	6.41	26.88	2.72	17.61	0.07	3.09
075-10	11.7	1.61	2.47	7.87	22.44	1.62	9.62	0.11	4.09
075-11	8.66	1.23	2.43	7.65	26.35	2.25	13.94	0.07	3.04
075-12	5.88	0.82	1.84	5.77	25.22	2.91	19.52	0.08	3.56
075-13	7.54	1.05	2.02	6.37	24.14	2.41	15.68	0.1	4.04
075-14	3.13	0.43	1.14	3.56	21.66	3.85	28.01	0.07	3.82
075-15	14.86	2.03	2.63	8.49	19.99	1.24	7.03	0.1	3.6
075-16	14.57	1.98	2.52	8.15	19.36	1.35	8.03	0.09	3.37
075-17	15.62	2.1	2.43	7.92	17.68	1.14	6.66	0.09	3.4
075-18	12.47	1.74	2.73	8.71	24.18	1.57	8.78	0.08	3.02
075-02	6.25	0.88	1.97	6.16	26.13	2.89	19.15	0.07	3.17
075-03	10.27	1.42	2.34	7.44	24.1	1.93	11.76	0.09	3.48
075-04	3.58	0.49	1.24	3.85	22.27	3.72	26.8	0.07	3.74
075-05	11.85	1.66	2.8	8.9	25.92	1.65	9.1	0.06	2.57
075-06	14.58	2.02	2.87	9.19	22.47	1.35	7.36	0.07	2.84
075-07	10.83	1.52	2.68	8.5	26.58	1.82	10.32	0.07	2.83
075-08	10.9	1.51	2.42	7.7	23.03	1.8	10.95	0.1	3.96
075-09	12.35	1.69	2.48	7.94	22.26	1.54	9.02	0.11	4.05
076-01	11.06	1.46	1.88	6.07	17.69	1.58	10.44	0.18	6.63
076-10	8.35	0.94	0.74	2.5	13.47	1.47	12.23	2.18	17.05
076-02	8.65	1.09	1.48	4.75	16.78	1.71	12.09	0.35	12.12
076-03	14.41	1.84	1.79	5.91	13.38	0.85	5.64	0.31	10.77
076-04	12.24	1.55	1.65	5.4	13.06	0.9	6.3	0.39	13.46
076-05	10.3	1.28	1.46	4.75	13.84	1.18	8.54	0.44	15.14
076-06	8.95	1.01	0.72	2.45	12.27	1.33	11.17	1.99	17.22
076-07	11.14	1.4	1.48	4.86	15.05	1.42	9.94	0.29	10.34
076-08	14.74	1.83	1.39	4.7	10.65	0.77	5.5	0.33	11.36
076-09	10.21	1.17	0.78	2.69	12.75	1.28	10.8	2.22	16.28
077-01	9.02	1.05	0.83	2.8	14.6	1.42	10.94	1.92	10.6
077-10	12.03	1.55	1.73	5.63	16.33	1.21	7.75	0.24	8.36
