Prénom;Nom;Département;Numéro de département;Numéro de la circonscription;facebook;twitter;url
Marie-Arlette;CARLOTTI;Bouches-du-Rhône;13;5;https://www.facebook.com/macarlotti/?fref=ts;https://twitter.com/MACarlotti;http://www.parti-socialiste.fr/personnalite/marie-arlette-carlotti/
Anne;DI MARINO;Bouches-du-Rhône;13;3;https://www.facebook.com/rebia.benarioua?fref=ts;;http://www.parti-socialiste.fr/personnalite/annedi-marino/
Chaama;GRAILLAT;Alpes-Maritimes;06;5;;https://twitter.com/GChaama;http://www.parti-socialiste.fr/personnalite/chaama-graillat/
Annie;LEVY-MOZZICONACCI;Bouches-du-Rhône;13;2;https://www.facebook.com/annie.levymozziconacci/;;http://www.parti-socialiste.fr/personnalite/annie-levy-mozziconacci/
Gérard;OREGGIA;Bouches-du-Rhône;13;1;https://www.facebook.com/Oreggia2017/?fref=ts;https://twitter.com/OreggiaG;http://www.parti-socialiste.fr/personnalite/gerard-oreggia/
Pierre-Marie;CARLIER;Alpes-Maritimes;06;2;;https://twitter.com/pm_carlier;http://www.parti-socialiste.fr/personnalite/carlier-pierre-marie/
Delphine;BAGARRY;Alpes-de-Haute-Provence;04;1;https://www.facebook.com/delphinebagarry04/?fref=ts;https://twitter.com/DBagarry;http://www.parti-socialiste.fr/personnalite/delphine-bagarry/
Karine;BERGER;Hautes-Alpes;05;1;https://www.facebook.com/karine.berger.deputee/?fref=ts;https://twitter.com/Karine_Berger;http://www.parti-socialiste.fr/personnalite/berger-karine/
Sylviane;BULTEAU;Vendée;85;2;https://www.facebook.com/sylvianebulteau/?fref=ts;https://twitter.com/sylvianebulteau;http://www.parti-socialiste.fr/personnalite/sylviane-bulteau-2/
Anthony;PITALIER;Vendée;85;3;https://www.facebook.com/apitalier/?fref=ts;https://twitter.com/apitalier;http://www.parti-socialiste.fr/personnalite/anthony-pitalier/
Christophe;ROUILLON;Sarthe;72;5;https://www.facebook.com/ChristopheRouillonOfficiel/?fref=ts;https://twitter.com/ch_rouillon;http://www.parti-socialiste.fr/personnalite/christophe-rouillon/
Cécile;DREURE;Vendée;85;1;https://www.facebook.com/Ceciledreure2017/?ref=ts&fref=ts;https://twitter.com/CDreure;http://www.parti-socialiste.fr/personnalite/cecile-dreure/
Hugues;FOURAGE;Vendée;85;5;https://www.facebook.com/Hugues-Fourage-245908092241904/?fref=ts;https://twitter.com/HuguesFourage;http://www.parti-socialiste.fr/personnalite/hugues-fourage/
Stéphane;LE FOLL;Sarthe;72;4;https://www.facebook.com/lefoll/?fref=ts;https://twitter.com/SLeFoll?lang=fr;http://www.parti-socialiste.fr/personnalite/stephane-le-foll/
Marietta;KARAMANLI;Sarthe;72;2;https://www.facebook.com/MariettaKaramanli/?fref=ts;https://twitter.com/karamanli72;http://www.parti-socialiste.fr/personnalite/marietta-karamanli/
Nicolas;CHAUVIN;Sarthe;72;3;https://www.facebook.com/nicolas.chauvin.507?fref=ts;;http://www.parti-socialiste.fr/personnalite/nicolas-chauvin/
Françoise;DUBOIS;Sarthe;72;1;https://www.facebook.com/FrancoiseDuboisSarthe/;https://twitter.com/F_Dubois2017;http://www.parti-socialiste.fr/personnalite/francoise-dubois/
Serge;BARDY;Maine-et-Loire;49;6;https://www.facebook.com/deputebardy/?fref=ts;https://twitter.com/bardyserge;http://www.parti-socialiste.fr/personnalite/serge-bardy/
Meriem;BABA;Maine-et-Loire;49;4;https://www.facebook.com/Meriem-Baba-1824161377910532/?fref=ts;;http://www.parti-socialiste.fr/personnalite/meriem-baba/
